timestamp,session_time,frame_identifier,player_car_index,last_lap_time,current_lap_time,sector_1_time_ms,sector_1_time_min,sector_2_time_ms,sector_2_time_min,delta_car_ahead_ms,delta_car_ahead_min,delta_race_leader_ms,delta_race_leader_min,lap_distance,total_distance,delta_safety_car,car_position,current_lap_num,pit_status,pit_stops_count,sector,current_lap_invalid,penalties,total_warnings,corner_cutting_warnings,unserved_drive_thru_pens_count,unserved_stop_go_pens_count,grid_pos,driver_status,result_status,pitlane_timer_active,pitlane_time_in_lane_ms,pitstop_timer_ms,pitstop_should_serve_pen,speed_trap_fastest_speed,speed_trap_fastest_lap
1784313293.0090013,149.16238403320312,2996,0,0,0,0,0,0,0,0,0,0,0,-1076.2236328125,-1076.2236328125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.0629852,149.22073364257812,2997,0,0,0,0,0,0,0,0,0,0,0,-1073.27880859375,-1073.27880859375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.1161678,149.2748565673828,2998,0,0,0,0,0,0,0,0,0,0,0,-1069.490234375,-1069.490234375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.1577334,149.3167724609375,2999,0,0,0,0,0,0,0,0,0,0,0,-1067.6533203125,-1067.6533203125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.2083757,149.36874389648438,3000,0,0,0,0,0,0,0,0,0,0,0,-1064.96484375,-1064.96484375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.2603872,149.41946411132812,3001,0,0,0,0,0,0,0,0,0,0,0,-1062.35009765625,-1062.35009765625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.3135314,149.47161865234375,3002,0,0,0,0,0,0,0,0,0,0,0,-1059.8173828125,-1059.8173828125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.3680167,149.5249481201172,3003,0,0,0,0,0,0,0,0,0,0,0,-1056.572265625,-1056.572265625,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.4091003,149.5678253173828,3004,0,0,0,0,0,0,0,0,0,0,0,-1055.0029296875,-1055.0029296875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.4618175,149.62020874023438,3005,0,0,0,0,0,0,0,0,0,0,0,-1052.703125,-1052.703125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.513363,149.67201232910156,3006,0,0,0,0,0,0,0,0,0,0,0,-1049.70849609375,-1049.70849609375,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.5647533,149.72354125976562,3007,0,0,0,0,0,0,0,0,0,0,0,-1047.51953125,-1047.51953125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.6146057,149.77464294433594,3008,0,0,0,0,0,0,0,0,0,0,0,-1045.39404296875,-1045.39404296875,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
1784313293.6658173,149.82476806640625,3009,0,0,0,0,0,0,0,0,0,0,0,-1043.3203125,-1043.3203125,-0.0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0.0,255
